,,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,, -   , -   , -   ,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,, J , A , S , O , N , D , J , F , M , A , M , J ,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 191 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 125 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58403,04, 90 , 90 , 90 , 90 , 122 , 122 , 122 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84885,04, 90 , 90 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84872,01, 113 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,02, 441 , 441 , 441 , 441 , 441 , 441 , 441 , 441 , 441 , 441 , 344 , 354 , 987 ,, 53 , 55 , 156 , 193 , 75 , 256 , 29 , 7 , 33 , 62 , 53 , 15 ,,,,,,
,Market E,Plant A,Category F,B.07549,03, 446 , 521 , 521 , 521 , 518 , 500 , 489 , 489 , 479 , 432 , 427 , 438 , 438 ,, 187 , 42 , 30 , 70 , -   , 5 , 5 , 7 , 15 , 3 , 40 , 34 ,,,,,,
,Market E,Plant B,Category C,A.04170,01, 363 , 410 , 413 , 413 , 455 , 455 , 497 , 308 , 308 , 342 , 367 , 328 , 328 ,, -   , (37), 1 , (4), 9 , (76), 7 , 31 , (25), 77 , 274 , 69 ,,,,,,
,Market E,Plant A,Category C,FB.84876,01, 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,A.04283,04, 450 , 513 , 513 , 513 , 513 , 513 , 461 , 512 , 503 , 412 , 413 , 437 , 437 ,, -   , -   , 90 , 88 , 28 , 67 , 67 , 5 , 21 , 59 , -   , 13 ,,,,,,
,Market E,Plant B,Category A,FB.58404,03, 50 , 50 , 50 , 50 , 50 , 50 , 50 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84883,01, 135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84884,04, 50 , 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84902,03, 50 , 50 , 50 , 50 , 50 , 50 , 50 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07566,04,,, 274 , 310 , 267 , 265 , 260 , 133 , 133 , 46 , 6 , 52 , 52 ,, 20 , 15 , 59 , -   , 4 , -   , 20 , -   , (112), 46 , -   , -   ,,,,,,
